id,title,type,difficulty,company,submits,solved,tags,time_step
1697E,Coloring,PROGRAMMING,9,codeforces,150,6.0,"['brute force', 'combinatorics', 'constructive algorithms', 'dp', 'geometry', 'graphs', 'greedy', 'implementation', 'math']",=1656916706198
1697D,Guess The String,PROGRAMMING,7,codeforces,191,14.0,"['binary search', 'constructive algorithms', 'interactive']",=1656916706198
1697C,awoo's Favorite Problem,PROGRAMMING,5,codeforces,197,46.0,"['binary search', 'constructive algorithms', 'data structures', 'greedy', 'implementation', 'strings', 'two pointers']",=1656916706198
1697B,Promo,PROGRAMMING,3,codeforces,133,64.0,"['greedy', 'sortings']",=1656916706198
1697A,Parkway Walk,PROGRAMMING,1,codeforces,157,79.0,"['greedy', 'implementation']",=1656916706198
1696H,Maximum Product?,PROGRAMMING,15,codeforces,194,25.0,"['brute force', 'combinatorics', 'dp', 'greedy', 'implementation', 'math', 'two pointers']",=1656916706198
1696G,Fishingprince Plays With Array Again,PROGRAMMING,13,codeforces,132,5.0,"['brute force', 'data structures', 'geometry', 'math']",=1656916706198
1696F,Tree Recovery,PROGRAMMING,11,codeforces,177,32.0,"['brute force', 'constructive algorithms', 'dfs and similar', 'dsu', 'graphs', 'trees']",=1656916706198
1696E,Placing Jinas,PROGRAMMING,9,codeforces,117,61.0,"['combinatorics', 'math']",=1656916706198
1696D,Permutation Graph,PROGRAMMING,7,codeforces,192,19.0,"['binary search', 'constructive algorithms', 'data structures', 'divide and conquer', 'greedy', 'shortest paths']",=1656916706198
1696C,Fishingprince Plays With Array,PROGRAMMING,5,codeforces,154,2.0,"['constructive algorithms', 'greedy', 'implementation', 'math']",=1656916706198
1696B,NIT Destroys the Universe,PROGRAMMING,3,codeforces,161,92.0,['greedy'],=1656916706198
1696A,NIT orz!,PROGRAMMING,1,codeforces,140,63.0,"['bitmasks', 'greedy']",=1656916706198
1695E,Ambiguous Dominoes,PROGRAMMING,9,codeforces,115,84.0,"['constructive algorithms', 'dfs and similar', 'graphs']",=1656916706198
1695D2,Tree Queries (Hard Version),PROGRAMMING,8,codeforces,126,40.0,"['constructive algorithms', 'dfs and similar', 'dp', 'greedy', 'trees']",=1656916706198
1695D1,Tree Queries (Easy Version),PROGRAMMING,7,codeforces,158,100.0,"['brute force', 'constructive algorithms', 'dfs and similar', 'dp', 'greedy', 'trees']",=1656916706198
1695C,Zero Path,PROGRAMMING,5,codeforces,120,82.0,"['brute force', 'data structures', 'dp', 'graphs', 'greedy', 'shortest paths']",=1656916706198
1695B,Circle Game,PROGRAMMING,3,codeforces,113,15.0,"['games', 'greedy']",=1656916706198
1695A,Subrectangle Guess,PROGRAMMING,1,codeforces,182,20.0,['games'],=1656916706198
1694B,Paranoid String,PROGRAMMING,3,codeforces,138,85.0,"['constructive algorithms', 'greedy']",=1656916706198
1694A,Creep,PROGRAMMING,1,codeforces,147,56.0,"['greedy', 'implementation']",=1656916706198
1693F,I Might Be Wrong,PROGRAMMING,11,codeforces,182,50.0,"['binary search', 'greedy', 'two pointers']",=1656916706198
1693E,Outermost Maximums,PROGRAMMING,9,codeforces,194,93.0,"['data structures', 'greedy']",=1656916706198
1693D,Decinc Dividing,PROGRAMMING,7,codeforces,155,47.0,"['brute force', 'data structures', 'divide and conquer', 'dp', 'greedy']",=1656916706198
1693C,Keshi in Search of AmShZ,PROGRAMMING,5,codeforces,182,9.0,"['graphs', 'greedy', 'shortest paths']",=1656916706198
1693B,Fake Plastic Trees,PROGRAMMING,3,codeforces,102,54.0,"['dfs and similar', 'dp', 'greedy', 'trees']",=1656916706198
1693A,Directional Increase,PROGRAMMING,1,codeforces,120,68.0,['greedy'],=1656916706198
1692H,Gambling,PROGRAMMING,15,codeforces,164,23.0,"['data structures', 'dp', 'greedy', 'math']",=1656916706198
1692G,2^Sort,PROGRAMMING,13,codeforces,178,73.0,"['data structures', 'dp', 'sortings', 'two pointers']",=1656916706198
1692F,3SUM,PROGRAMMING,11,codeforces,180,0.0,"['brute force', 'math']",=1656916706198
1692E,Binary Deque,PROGRAMMING,9,codeforces,150,56.0,"['binary search', 'implementation', 'two pointers']",=1656916706198
1692D,The Clock,PROGRAMMING,7,codeforces,118,7.0,"['brute force', 'implementation']",=1656916706198
1692C,Where's the Bishop?,PROGRAMMING,5,codeforces,161,39.0,['implementation'],=1656916706198
1692B,All Distinct,PROGRAMMING,3,codeforces,196,81.0,"['greedy', 'sortings']",=1656916706198
1692A,Marathon,PROGRAMMING,1,codeforces,161,46.0,['implementation'],=1656916706198
1691F,K-Set Tree,PROGRAMMING,11,codeforces,187,81.0,"['combinatorics', 'dfs and similar', 'dp', 'math', 'trees']",=1656916706198
1691E,Number of Groups,PROGRAMMING,9,codeforces,153,62.0,"['data structures', 'dfs and similar', 'dsu', 'graphs', 'greedy', 'sortings']",=1656916706198
1691D,Max GEQ Sum,PROGRAMMING,7,codeforces,194,30.0,"['binary search', 'constructive algorithms', 'data structures', 'divide and conquer', 'implementation', 'two pointers']",=1656916706198
1691C,Sum of Substrings,PROGRAMMING,5,codeforces,155,19.0,"['brute force', 'constructive algorithms', 'greedy', 'math', 'strings']",=1656916706198
1691B,Shoe Shuffling,PROGRAMMING,3,codeforces,108,35.0,"['constructive algorithms', 'greedy', 'implementation', 'two pointers']",=1656916706198
1691A,Beat The Odds,PROGRAMMING,1,codeforces,172,5.0,"['brute force', 'greedy', 'math']",=1656916706198
1690G,Count the Trains,PROGRAMMING,13,codeforces,194,96.0,"['binary search', 'data structures', 'greedy', 'sortings']",=1656916706198
1690F,Shifting String,PROGRAMMING,11,codeforces,166,72.0,"['graphs', 'math', 'number theory', 'strings']",=1656916706198
1690E,Price Maximization,PROGRAMMING,9,codeforces,117,10.0,"['binary search', 'greedy', 'math', 'two pointers']",=1656916706198
1690D,Black and White Stripe,PROGRAMMING,7,codeforces,114,52.0,"['implementation', 'two pointers']",=1656916706198
1690C,Restoring the Duration of Tasks,PROGRAMMING,5,codeforces,198,87.0,"['data structures', 'greedy', 'implementation']",=1656916706198
1690B,Array Decrements,PROGRAMMING,3,codeforces,147,58.0,"['greedy', 'implementation']",=1656916706198
1690A,Print a Pedestal (Codeforces logo?),PROGRAMMING,1,codeforces,160,76.0,"['constructive algorithms', 'greedy']",=1656916706198
1689E,ANDfinity,PROGRAMMING,9,codeforces,139,4.0,"['bitmasks', 'brute force', 'constructive algorithms', 'dfs and similar', 'dsu', 'graphs']",=1656916706198
1689D,Lena and Matrix,PROGRAMMING,7,codeforces,167,92.0,"['data structures', 'dp', 'geometry', 'shortest paths']",=1656916706198
1689C,Infected Tree,PROGRAMMING,5,codeforces,139,19.0,"['dfs and similar', 'dp', 'trees']",=1656916706198
1689B,Mystic Permutation,PROGRAMMING,3,codeforces,190,2.0,"['data structures', 'greedy']",=1656916706198
1689A,Lex String,PROGRAMMING,1,codeforces,102,38.0,"['brute force', 'greedy', 'implementation', 'sortings', 'two pointers']",=1656916706198
1688C,Manipulating History,PROGRAMMING,5,codeforces,151,5.0,"['constructive algorithms', 'greedy', 'strings']",=1656916706198
1688B,Patchouli's Magical Talisman,PROGRAMMING,3,codeforces,127,74.0,"['bitmasks', 'constructive algorithms', 'greedy', 'sortings']",=1656916706198
1688A,Cirno's Perfect Bitmasks Classroom,PROGRAMMING,1,codeforces,170,31.0,"['bitmasks', 'brute force']",=1656916706198
1687F,Koishi's Unconscious Permutation,PROGRAMMING,11,codeforces,132,45.0,"['fft', 'math']",=1656916706198
1687E,Become Big For Me,PROGRAMMING,9,codeforces,169,41.0,"['combinatorics', 'constructive algorithms', 'greedy', 'math', 'number theory']",=1656916706198
1687D,Cute number,PROGRAMMING,7,codeforces,167,99.0,"['binary search', 'brute force', 'data structures', 'dsu', 'implementation', 'math']",=1656916706198
1687C,Sanae and Giant Robot,PROGRAMMING,5,codeforces,138,56.0,"['binary search', 'brute force', 'data structures', 'dsu', 'greedy', 'sortings']",=1656916706198
1687B,Railway System,PROGRAMMING,3,codeforces,141,20.0,"['constructive algorithms', 'graphs', 'greedy', 'interactive', 'sortings']",=1656916706198
1687A,The Enchanted Forest,PROGRAMMING,1,codeforces,102,77.0,"['brute force', 'greedy']",=1656916706198
1686B,Odd Subarrays,PROGRAMMING,3,codeforces,188,94.0,"['dp', 'greedy']",=1656916706198
1686A,Everything Everywhere All But One,PROGRAMMING,1,codeforces,117,73.0,['greedy'],=1656916706198
1685E,The Ultimate LIS Problem,PROGRAMMING,9,codeforces,177,50.0,"['data structures', 'greedy']",=1656916706198
1685D2,Permutation Weight (Hard Version),PROGRAMMING,8,codeforces,123,68.0,"['constructive algorithms', 'greedy']",=1656916706198
1685D1,Permutation Weight (Easy Version),PROGRAMMING,7,codeforces,187,3.0,"['constructive algorithms', 'dfs and similar', 'dsu']",=1656916706198
1685C,Bring Balance,PROGRAMMING,5,codeforces,187,65.0,"['brute force', 'constructive algorithms', 'greedy']",=1656916706198
1685B,Linguistics,PROGRAMMING,3,codeforces,157,13.0,"['greedy', 'implementation', 'sortings', 'strings']",=1656916706198
1685A,Circular Local MiniMax,PROGRAMMING,1,codeforces,181,32.0,"['constructive algorithms', 'greedy', 'sortings']",=1656916706198
1684H,Hard Cut,PROGRAMMING,15,codeforces,154,41.0,"['constructive algorithms', 'dfs and similar', 'divide and conquer', 'math']",=1656916706198
1684G,Euclid Guess,PROGRAMMING,13,codeforces,115,26.0,"['constructive algorithms', 'flows', 'graph matchings', 'math', 'number theory']",=1656916706198
1684F,Diverse Segments,PROGRAMMING,11,codeforces,167,39.0,"['data structures', 'two pointers']",=1656916706198
1684E,MEX vs DIFF,PROGRAMMING,9,codeforces,160,53.0,"['binary search', 'brute force', 'constructive algorithms', 'data structures', 'greedy', 'two pointers']",=1656916706198
1684D,Traps,PROGRAMMING,7,codeforces,131,54.0,"['constructive algorithms', 'greedy', 'sortings']",=1656916706198
1684C,Column Swapping,PROGRAMMING,5,codeforces,126,3.0,"['brute force', 'constructive algorithms', 'greedy', 'implementation', 'sortings']",=1656916706198
1684B,Z mod X = C,PROGRAMMING,3,codeforces,197,41.0,"['constructive algorithms', 'math']",=1656916706198
1684A,Digit Minimization,PROGRAMMING,1,codeforces,140,0.0,"['constructive algorithms', 'games', 'math', 'strings']",=1656916706198
1682F,MCMF?,PROGRAMMING,11,codeforces,136,20.0,"['data structures', 'flows', 'graphs', 'greedy', 'sortings', 'two pointers']",=1656916706198
1682E,Unordered Swaps,PROGRAMMING,9,codeforces,101,86.0,"['constructive algorithms', 'dfs and similar', 'graphs', 'greedy', 'math', 'sortings', 'trees']",=1656916706198
1682D,Circular Spanning Tree,PROGRAMMING,7,codeforces,112,0.0,"['constructive algorithms', 'implementation', 'trees']",=1656916706198
1682C,LIS or Reverse LIS?,PROGRAMMING,5,codeforces,155,45.0,"['constructive algorithms', 'greedy', 'implementation', 'math']",=1656916706198
1682B,AND Sorting,PROGRAMMING,3,codeforces,192,47.0,"['bitmasks', 'constructive algorithms', 'sortings']",=1656916706198
1682A,Palindromic Indices,PROGRAMMING,1,codeforces,141,20.0,"['greedy', 'strings']",=1656916706198
1681F,Unique Occurrences,PROGRAMMING,11,codeforces,156,88.0,"['data structures', 'dfs and similar', 'divide and conquer', 'dp', 'dsu', 'trees']",=1656916706198
1681E,Labyrinth Adventures,PROGRAMMING,9,codeforces,124,39.0,"['data structures', 'dp', 'matrices', 'shortest paths']",=1656916706198
1681D,Required Length,PROGRAMMING,7,codeforces,110,36.0,"['brute force', 'dfs and similar', 'dp', 'hashing', 'shortest paths']",=1656916706198
1681C,Double Sort,PROGRAMMING,5,codeforces,116,46.0,"['implementation', 'sortings']",=1656916706198
1681B,Card Trick,PROGRAMMING,3,codeforces,128,12.0,"['implementation', 'math']",=1656916706198
1681A,Game with Cards,PROGRAMMING,1,codeforces,195,74.0,"['games', 'greedy']",=1656916706198
1680F,Lenient Vertex Cover,PROGRAMMING,11,codeforces,122,65.0,"['dfs and similar', 'divide and conquer', 'dsu', 'graphs', 'trees']",=1656916706198
1680E,Moving Chips,PROGRAMMING,9,codeforces,189,98.0,"['bitmasks', 'dp', 'greedy']",=1656916706198
1680D,Dog Walking,PROGRAMMING,7,codeforces,106,77.0,"['brute force', 'greedy', 'math']",=1656916706198
1680C,Binary String,PROGRAMMING,5,codeforces,190,9.0,"['binary search', 'greedy', 'strings', 'two pointers']",=1656916706198
1680B,Robots,PROGRAMMING,3,codeforces,180,95.0,['implementation'],=1656916706198
1680A,Minimums and Maximums,PROGRAMMING,1,codeforces,176,16.0,"['brute force', 'math']",=1656916706198
1679F,Formalism for Formalism,PROGRAMMING,11,codeforces,150,37.0,"['bitmasks', 'dp', 'math']",=1656916706198
1679E,Typical Party in Dorm,PROGRAMMING,9,codeforces,188,60.0,"['bitmasks', 'combinatorics', 'dp', 'strings']",=1656916706198
1679D,Toss a Coin to Your Graph...,PROGRAMMING,7,codeforces,110,72.0,"['binary search', 'dfs and similar', 'dp', 'graphs']",=1656916706198
1679C,Rooks Defenders,PROGRAMMING,5,codeforces,100,46.0,"['data structures', 'implementation']",=1656916706198
1679B,Stone Age Problem,PROGRAMMING,3,codeforces,147,45.0,"['data structures', 'implementation']",=1656916706198
1679A,AvtoBus,PROGRAMMING,1,codeforces,185,6.0,"['brute force', 'greedy', 'math', 'number theory']",=1656916706198
1678B2,Tokitsukaze and Good 01-String (hard version),PROGRAMMING,4,codeforces,105,44.0,"['dp', 'greedy', 'implementation']",=1656916706198
1678B1,Tokitsukaze and Good 01-String (easy version),PROGRAMMING,3,codeforces,180,5.0,['implementation'],=1656916706198
1678A,Tokitsukaze and All Zero Sequence,PROGRAMMING,1,codeforces,173,31.0,['implementation'],=1656916706198
1677F,Tokitsukaze and Gems,PROGRAMMING,11,codeforces,143,15.0,"['dp', 'math']",=1656916706198
1677E,Tokitsukaze and Beautiful Subsegments,PROGRAMMING,9,codeforces,142,77.0,['data structures'],=1656916706198
1677D,Tokitsukaze and Permutations,PROGRAMMING,7,codeforces,138,73.0,"['dp', 'math']",=1656916706198
1677C,Tokitsukaze and Two Colorful Tapes,PROGRAMMING,5,codeforces,163,68.0,"['constructive algorithms', 'dfs and similar', 'graphs', 'greedy']",=1656916706198
1677B,Tokitsukaze and Meeting,PROGRAMMING,3,codeforces,131,6.0,"['data structures', 'implementation', 'math']",=1656916706198
1677A,Tokitsukaze and Strange Inequality,PROGRAMMING,1,codeforces,118,20.0,"['brute force', 'data structures', 'dp']",=1656916706198
1676H2,Maximum Crossings (Hard Version),PROGRAMMING,16,codeforces,191,85.0,"['data structures', 'divide and conquer', 'sortings']",=1656916706198
1676H1,Maximum Crossings (Easy Version),PROGRAMMING,15,codeforces,135,44.0,['brute force'],=1656916706198
1676G,White-Black Balanced Subtrees,PROGRAMMING,13,codeforces,167,11.0,"['dfs and similar', 'dp', 'graphs', 'trees']",=1656916706198
1676F,Longest Strike,PROGRAMMING,11,codeforces,174,81.0,"['data structures', 'greedy', 'implementation', 'sortings', 'two pointers']",=1656916706198
1676E,Eating Queries,PROGRAMMING,9,codeforces,121,52.0,"['binary search', 'greedy', 'sortings']",=1656916706198
1676D,X-Sum,PROGRAMMING,7,codeforces,155,33.0,"['brute force', 'greedy', 'implementation']",=1656916706198
1676C,Most Similar Words,PROGRAMMING,5,codeforces,179,65.0,"['brute force', 'greedy', 'implementation', 'implementation', 'math', 'strings']",=1656916706198
1676B,Equal Candies,PROGRAMMING,3,codeforces,191,95.0,"['greedy', 'math', 'sortings']",=1656916706198
1676A,Lucky?,PROGRAMMING,1,codeforces,123,0.0,['implementation'],=1656916706198
1675G,Sorting Pancakes,PROGRAMMING,13,codeforces,103,72.0,['dp'],=1656916706198
1675F,Vlad and Unfinished Business,PROGRAMMING,11,codeforces,131,14.0,"['dfs and similar', 'dp', 'greedy', 'trees']",=1656916706198
1675E,"Replace With the Previous, Minimize",PROGRAMMING,9,codeforces,200,98.0,"['dsu', 'greedy', 'strings']",=1656916706198
1675D,Vertical Paths,PROGRAMMING,7,codeforces,140,73.0,"['graphs', 'implementation', 'trees']",=1656916706198
1675C,Detective Task,PROGRAMMING,5,codeforces,188,88.0,['implementation'],=1656916706198
1675B,Make It Increasing,PROGRAMMING,3,codeforces,181,73.0,"['greedy', 'implementation']",=1656916706198
1675A,Food for Animals,PROGRAMMING,1,codeforces,182,99.0,"['greedy', 'math']",=1656916706198
1674G,Remove Directed Edges,PROGRAMMING,13,codeforces,110,96.0,"['dfs and similar', 'dp', 'graphs']",=1656916706198
1674F,Desktop Rearrangement,PROGRAMMING,11,codeforces,133,33.0,"['data structures', 'greedy', 'implementation']",=1656916706198
1674E,Breaking the Wall,PROGRAMMING,9,codeforces,133,54.0,"['binary search', 'brute force', 'constructive algorithms', 'greedy', 'math']",=1656916706198
1674D,A-B-C Sort,PROGRAMMING,7,codeforces,143,16.0,"['constructive algorithms', 'implementation', 'sortings']",=1656916706198
1674C,Infinite Replacement,PROGRAMMING,5,codeforces,192,25.0,"['combinatorics', 'implementation', 'strings']",=1656916706198
1674B,Dictionary,PROGRAMMING,3,codeforces,178,60.0,"['combinatorics', 'math']",=1656916706198
1674A,Number Transformation,PROGRAMMING,1,codeforces,174,41.0,"['constructive algorithms', 'math']",=1656916706198
1673F,Anti-Theft Road Planning,PROGRAMMING,11,codeforces,135,48.0,"['bitmasks', 'constructive algorithms', 'divide and conquer', 'greedy', 'interactive', 'math']",=1656916706198
1673E,Power or XOR?,PROGRAMMING,9,codeforces,189,27.0,"['bitmasks', 'combinatorics', 'math', 'number theory']",=1656916706198
1673D,Lost Arithmetic Progression,PROGRAMMING,7,codeforces,131,36.0,"['combinatorics', 'math', 'number theory']",=1656916706198
1673C,Palindrome Basis,PROGRAMMING,5,codeforces,150,46.0,"['brute force', 'dp', 'math', 'number theory']",=1656916706198
1673B,A Perfectly Balanced String?,PROGRAMMING,3,codeforces,163,6.0,"['brute force', 'greedy', 'strings']",=1656916706198
1673A,Subtle Substring Subtraction,PROGRAMMING,1,codeforces,180,51.0,"['games', 'greedy', 'strings']",=1656916706198
1672I,PermutationForces,PROGRAMMING,17,codeforces,153,61.0,"['data structures', 'greedy']",=1656916706198
1672H,Zigu Zagu,PROGRAMMING,15,codeforces,164,5.0,"['constructive algorithms', 'data structures', 'greedy']",=1656916706198
1672G,Cross Xor,PROGRAMMING,13,codeforces,150,96.0,"['constructive algorithms', 'graphs', 'math', 'matrices']",=1656916706198
1672F2,Checker for Array Shuffling,PROGRAMMING,12,codeforces,197,36.0,"['constructive algorithms', 'dfs and similar', 'graphs']",=1656916706198
1672F1,Array Shuffling,PROGRAMMING,11,codeforces,192,79.0,"['constructive algorithms', 'graphs', 'greedy']",=1656916706198
1672E,notepad.exe,PROGRAMMING,9,codeforces,103,80.0,"['binary search', 'constructive algorithms', 'greedy', 'interactive']",=1656916706198
1672D,Cyclic Rotation,PROGRAMMING,7,codeforces,147,70.0,"['constructive algorithms', 'greedy', 'implementation', 'two pointers']",=1656916706198
1672C,Unequal Array,PROGRAMMING,5,codeforces,173,15.0,"['constructive algorithms', 'greedy', 'implementation']",=1656916706198
1672B,I love AAAB,PROGRAMMING,3,codeforces,155,21.0,"['constructive algorithms', 'implementation']",=1656916706198
1672A,Log Chopping,PROGRAMMING,1,codeforces,119,36.0,"['games', 'implementation', 'math']",=1656916706198
1671F,Permutation Counting,PROGRAMMING,11,codeforces,187,74.0,"['brute force', 'combinatorics', 'dp', 'fft', 'math']",=1656916706198
1671E,Preorder,PROGRAMMING,9,codeforces,169,17.0,"['combinatorics', 'divide and conquer', 'dp', 'dsu', 'hashing', 'sortings', 'trees']",=1656916706198
1671D,Insert a Progression,PROGRAMMING,7,codeforces,185,63.0,"['brute force', 'constructive algorithms', 'greedy']",=1656916706198
1671C,Dolce Vita,PROGRAMMING,5,codeforces,138,19.0,"['binary search', 'brute force', 'greedy', 'math']",=1656916706198
1671B,Consecutive Points Segment,PROGRAMMING,3,codeforces,200,27.0,"['brute force', 'math', 'sortings']",=1656916706198
1671A,String Building,PROGRAMMING,1,codeforces,165,49.0,['implementation'],=1656916706198
1670F,"Jee, You See?",PROGRAMMING,11,codeforces,172,3.0,"['bitmasks', 'combinatorics', 'dp']",=1656916706198
1670E,Hemose on the Tree,PROGRAMMING,9,codeforces,161,73.0,"['bitmasks', 'constructive algorithms', 'dfs and similar', 'trees']",=1656916706198
1670D,Very Suspicious,PROGRAMMING,7,codeforces,190,47.0,"['binary search', 'brute force', 'geometry', 'greedy', 'implementation', 'math']",=1656916706198
1670C,Where is the Pizza?,PROGRAMMING,5,codeforces,157,50.0,"['data structures', 'dfs and similar', 'dsu', 'graphs', 'implementation', 'math']",=1656916706198
1670B,Dorms War,PROGRAMMING,3,codeforces,181,57.0,"['brute force', 'implementation', 'strings']",=1656916706198
1670A,Prof. Slim,PROGRAMMING,1,codeforces,122,99.0,"['greedy', 'implementation', 'sortings']",=1656916706198
1669H,Maximal AND,PROGRAMMING,15,codeforces,104,62.0,"['bitmasks', 'greedy', 'math']",=1656916706198
1669G,Fall Down,PROGRAMMING,13,codeforces,120,48.0,"['dfs and similar', 'implementation']",=1656916706198
1669F,Eating Candies,PROGRAMMING,11,codeforces,127,54.0,"['binary search', 'data structures', 'greedy', 'two pointers']",=1656916706198
1669E,2-Letter Strings,PROGRAMMING,9,codeforces,197,30.0,"['data structures', 'math', 'strings']",=1656916706198
1669D,Colorful Stamp,PROGRAMMING,7,codeforces,104,87.0,['implementation'],=1656916706198
1669C,Odd/Even Increments,PROGRAMMING,5,codeforces,130,94.0,"['greedy', 'greedy', 'implementation', 'math']",=1656916706198
1669B,Triple,PROGRAMMING,3,codeforces,101,52.0,"['implementation', 'sortings']",=1656916706198
1669A,Division?,PROGRAMMING,1,codeforces,169,22.0,['implementation'],=1656916706198
1668B,Social Distance,PROGRAMMING,3,codeforces,185,75.0,"['greedy', 'math', 'sortings']",=1656916706198
1668A,Direction Change,PROGRAMMING,1,codeforces,134,57.0,"['implementation', 'math']",=1656916706198
1667F,Yin Yang,PROGRAMMING,11,codeforces,105,2.0,['implementation'],=1656916706198
1667E,Centroid Probabilities,PROGRAMMING,9,codeforces,161,41.0,"['combinatorics', 'dp', 'fft', 'math']",=1656916706198
1667D,Edge Elimination,PROGRAMMING,7,codeforces,185,35.0,"['constructive algorithms', 'dfs and similar', 'dp', 'trees']",=1656916706198
1667C,Half Queen Cover,PROGRAMMING,5,codeforces,193,95.0,"['constructive algorithms', 'math']",=1656916706198
1667B,Optimal Partition,PROGRAMMING,3,codeforces,169,40.0,"['data structures', 'dp']",=1656916706198
1667A,Make it Increasing,PROGRAMMING,1,codeforces,105,34.0,"['brute force', 'greedy', 'math']",=1656916706198
1666L,Labyrinth,PROGRAMMING,23,codeforces,163,88.0,"['dfs and similar', 'graphs']",=1656916706198
1666K,Kingdom Partition,PROGRAMMING,21,codeforces,166,38.0,['flows'],=1656916706198
1666J,Job Lookup,PROGRAMMING,19,codeforces,161,49.0,"['constructive algorithms', 'dp', 'shortest paths', 'trees']",=1656916706198
1666I,Interactive Treasure Hunt,PROGRAMMING,17,codeforces,158,13.0,"['brute force', 'constructive algorithms', 'geometry', 'interactive', 'math']",=1656916706198
1666H,Heroes of Might,PROGRAMMING,15,codeforces,161,1.0,['math'],=1656916706198
1666G,Global Warming,PROGRAMMING,13,codeforces,156,13.0,"['geometry', 'math']",=1656916706198
1666F,Fancy Stack,PROGRAMMING,11,codeforces,149,37.0,"['combinatorics', 'dp', 'implementation']",=1656916706198
1666E,Even Split,PROGRAMMING,9,codeforces,180,88.0,"['binary search', 'constructive algorithms', 'greedy', 'math']",=1656916706198
1666D,Deletive Editing,PROGRAMMING,7,codeforces,192,94.0,['greedy'],=1656916706198
1666C,Connect the Points,PROGRAMMING,5,codeforces,164,38.0,"['brute force', 'constructive algorithms', 'geometry']",=1656916706198
1666B,Budget Distribution,PROGRAMMING,3,codeforces,198,80.0,[],=1656916706198
1666A,Admissible Map,PROGRAMMING,1,codeforces,178,50.0,[],=1656916706198
1665E,MinimizOR,PROGRAMMING,9,codeforces,113,44.0,"['bitmasks', 'brute force', 'data structures', 'divide and conquer', 'greedy', 'implementation', 'two pointers']",=1656916706198
1665D,GCD Guess,PROGRAMMING,7,codeforces,200,45.0,"['bitmasks', 'chinese remainder theorem', 'constructive algorithms', 'games', 'interactive', 'math', 'number theory']",=1656916706198
1665C,Tree Infection,PROGRAMMING,5,codeforces,161,0.0,"['binary search', 'greedy', 'sortings', 'trees']",=1656916706198
1665B,Array Cloning Technique,PROGRAMMING,3,codeforces,126,27.0,"['constructive algorithms', 'greedy', 'sortings']",=1656916706198
1665A,GCD vs LCM,PROGRAMMING,1,codeforces,141,38.0,"['constructive algorithms', 'math']",=1656916706198
1663H,Cross-Language Program,PROGRAMMING,15,codeforces,140,2.0,"['*special', 'constructive algorithms']",=1656916706198
1663G,Six Characters,PROGRAMMING,13,codeforces,106,71.0,"['*special', 'constructive algorithms', 'strings']",=1656916706198
1663F,In Every Generation...,PROGRAMMING,11,codeforces,161,22.0,['strings'],=1656916706198
1663E,Are You Safe?,PROGRAMMING,9,codeforces,176,15.0,"['*special', 'implementation']",=1656916706198
1663D,Is it rated - 3,PROGRAMMING,7,codeforces,180,19.0,"['*special', 'combinatorics', 'dp', 'math']",=1656916706198
1663C,Pōja Verdon,PROGRAMMING,5,codeforces,131,14.0,"['*special', 'implementation', 'math']",=1656916706198
1663B,Mike's Sequence,PROGRAMMING,3,codeforces,107,20.0,"['*special', 'divide and conquer', 'implementation', 'math']",=1656916706198
1663A,Who Tested?,PROGRAMMING,1,codeforces,170,20.0,"['expression parsing', 'trees']",=1656916706198
1662O,Circular Maze,PROGRAMMING,29,codeforces,132,98.0,"['brute force', 'dfs and similar', 'graphs', 'implementation']",=1656916706198
1662N,Drone Photo,PROGRAMMING,27,codeforces,156,19.0,"['combinatorics', 'math', 'sortings']",=1656916706198
